Name,Address,Contact,Ranking,Cuisine,Reviews,Opening_hours,Ratings,Website,Item_url
IZAKAYA E.A.K. Hell's Kitchen,"360 W 46th St, New York City, NY 10036-8339",+1 646-850-8032,"#2,499",$$ - $$$JapaneseAsianVegetarian Friendly,22 reviews,See all hours,4.5,http://eakramen.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d17767689-Reviews-IZAKAYA_E_A_K_Hell_s_Kitchen-New_York_City_New_York.html
Sistina,"24 E 81st St Between 80th & 81st Sts, New York City, NY 10028-0226",+1 212-861-7660,"#2,115",$$$$ItalianMediterraneanContemporary,176 reviews,See all hours,4.0,https://www.sistinany.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d23811025-Reviews-Sistina-New_York_City_New_York.html
John's of Bleecker Street,"278 Bleecker St, New York City, NY 10014-4105",+1 212-243-1680,#185,$$ - $$$ItalianPizzaVegetarian Friendly,"1,889 reviews",See all hours,4.5,http://www.johnsofbleeckerstreetmenu.com/?utm_source=organic_tripadvisor&utm_medium=ta_website,https://www.tripadvisor.com/Restaurant_Review-g60763-d492818-Reviews-John_s_of_Bleecker_Street-New_York_City_New_York.html
Chart House,"Lincoln Harbor Pier D-T Pier D-T Lincoln Harbor, Weehawken, NJ 07086",+1 201-348-6628,#1,$$$$AmericanSeafoodVegetarian Friendly,725 reviews,See all hours,4.5,https://www.chart-house.com/location/chart-house-weehawken-nj/,https://www.tripadvisor.com/Restaurant_Review-g46907-d7289700-Reviews-Chart_House-Weehawken_New_Jersey.html
Cookshop,"156 10th Ave, New York City, NY 10011-4758",+1 212-924-4440,#186,$$ - $$$AmericanVegetarian FriendlyVegan Options,"1,143 reviews",,4.5,http://www.cookshopny.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d590529-Reviews-Cookshop-New_York_City_New_York.html
Danji,"346 W 52nd St Frnt 2, New York City, NY 10019-6218",+1 212-586-2880,#187,$$ - $$$AsianKoreanVegetarian Friendly,509 reviews,,4.5,http://www.danjinyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d2035361-Reviews-Danji-New_York_City_New_York.html
Sakagura,"211 E 43rd St Basement, New York City, NY 10017-4707",+1 212-953-7253,#188,$$ - $$$JapaneseAsianVegetarian Friendly,509 reviews,See all hours,4.5,http://www.sakagura.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d425333-Reviews-Sakagura-New_York_City_New_York.html
Lupa Osteria Romana,"170 Thompson St, New York City, NY 10012",+1 212-982-5089,#477,$$ - $$$ItalianRomanaVegetarian Friendly,990 reviews,See all hours,4.0,http://luparestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d423393-Reviews-Lupa_Osteria_Romana-New_York_City_New_York.html
Black Tap,"529 Broome St, New York City, NY 10013-6400",+1 917-639-3089,#189,$$ - $$$AmericanBarVegetarian Friendly,861 reviews,See all hours,4.5,https://blacktap.com/location/soho/,https://www.tripadvisor.com/Restaurant_Review-g60763-d7993325-Reviews-Black_Tap-New_York_City_New_York.html
Il Gattopardo,"The Rockefeller Townhouse 13-15 W. 54th St., New York City, NY 10019-5422",+1 212-246-0412,#190,$$$$ItalianSouthern-ItalianVegetarian Friendly,786 reviews,See all hours,4.5,http://www.ilgattopardonyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d424586-Reviews-Il_Gattopardo-New_York_City_New_York.html
Birdland,"315 W 44th St, New York City, NY 10036-5402",+1 212-581-3080,#191,$$ - $$$AmericanBarVegetarian Friendly,374 reviews,,4.5,http://www.birdlandjazz.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d541243-Reviews-Birdland-New_York_City_New_York.html
Prince Street Pizza,"27 Prince St, New York City, NY 10012-3551",+1 212-966-4100,#192,$ItalianPizzaFast Food,478 reviews,See all hours,4.5,http://princestreetpizzanyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d3322154-Reviews-Prince_Street_Pizza-New_York_City_New_York.html
Flex Mussels,"154 W 13th St, New York City, NY 10011-7802",+1 212-229-0222,#193,$$ - $$$AmericanSeafoodGluten Free Options,260 reviews,See all hours,4.5,http://flexmusselsny.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1984030-Reviews-Flex_Mussels-New_York_City_New_York.html
Meduza Mediterrania New York,"657 Hudson Street Gansevoort Meatpacking NYC, New York City, NY 10014",+1 646-435-6544,"#4,639",$$$$Mediterranean,3 reviews,See all hours,5.0,http://www.meduza33.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d25777160-Reviews-Meduza_Mediterrania_New_York-New_York_City_New_York.html
Guantanamera,"939 8th Ave Between West 55th and West 56th Streets, New York City, NY 10019-4264",+1 212-262-5354,#194,$$ - $$$CaribbeanLatinSpanish,679 reviews,,4.5,http://www.guantanamerany.com/Home.html,https://www.tripadvisor.com/Restaurant_Review-g60763-d658171-Reviews-Guantanamera-New_York_City_New_York.html
West Side Steakhouse,"597 10th Ave, New York City, NY 10036-3016",+1 212-564-4803,#195,$$ - $$$AmericanSteakhouse,"1,124 reviews",See all hours,4.5,http://www.westsidesteakhousenyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1973314-Reviews-West_Side_Steakhouse-New_York_City_New_York.html
Artichoke Basille's Pizza,"321 E 14th St, New York City, NY 10003-4203",+1 212-228-2004,#196,$ItalianAmericanPizza,723 reviews,See all hours,4.5,http://www.artichokebasillespizzanewyork.com/?utm_source=organic_tripadvisor&utm_medium=ta_website,https://www.tripadvisor.com/Restaurant_Review-g60763-d15162035-Reviews-Artichoke_Basille_s_Pizza-New_York_City_New_York.html
Boqueria Soho,"171 Spring St, New York City, NY 10012-3843",+1 212-343-4255,#197,$$ - $$$SpanishVegetarian FriendlyVegan Options,659 reviews,See all hours,4.5,https://boqueriarestaurant.com/tapas-bar-nyc-soho/,https://www.tripadvisor.com/Restaurant_Review-g60763-d3190303-Reviews-Boqueria_Soho-New_York_City_New_York.html
Rossini's Restaurant,"108 E 38th St, New York City, NY 10016-2648",+1 212-683-0135,#198,$$$$ItalianVegetarian FriendlyVegan Options,497 reviews,,4.5,http://www.rossinisrestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d425346-Reviews-Rossini_s_Restaurant-New_York_City_New_York.html
Burger & Lobster,"39 W 19th St between Fifth & 6th Avenues, New York City, NY 10011-4225",+1 646-833-7532,#115,$$ - $$$AmericanSeafood,"1,104 reviews",See all hours,4.5,http://www.burgerandlobster.com/locations/new-york/flatiron/,https://www.tripadvisor.com/Restaurant_Review-g60763-d7345837-Reviews-Burger_Lobster-New_York_City_New_York.html
Whiskey Tavern,"79 Baxter St Frnt A, New York City, NY 10013-4462",+1 212-374-9119,#199,$$ - $$$AmericanBarPub,183 reviews,,4.5,http://whiskeytavernnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d2212145-Reviews-Whiskey_Tavern-New_York_City_New_York.html
pizzArte,"69 W 55th St, New York City, NY 10019-4934",+1 212-247-3936,#200,$$ - $$$ItalianPizzaVegetarian Friendly,"1,423 reviews",,4.5,https://slicelife.com/restaurants/ny/new-york/10019/pizzarte/menu?utm_source=slice_m2022,https://www.tripadvisor.com/Restaurant_Review-g60763-d2314754-Reviews-PizzArte-New_York_City_New_York.html
Urbanspace Vanderbilt,"230 Park Ave Access New York Group, New York City, NY 10169",+1 646-747-0810,#201,$ItalianMexicanBar,421 reviews,06:30 AM - 8:00 PM,4.5,https://www.urbanspacenyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d8726958-Reviews-Urbanspace_Vanderbilt-New_York_City_New_York.html
Two Hands Nolita,"164 Mott St, New York City, NY 10013-4277",+1 646-781-9013,#202,$$ - $$$CafeHealthyAustralian,370 reviews,See all hours,4.5,http://www.twohandshospitality.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d7060226-Reviews-Two_Hands_Nolita-New_York_City_New_York.html
Red Rooster Harlem,"310 Lenox Ave, New York City, NY 10027-4449",+1 212-792-9001,#203,$$ - $$$AmericanBarVegetarian Friendly,"2,628 reviews",See all hours,4.0,https://www.redroosterharlem.com/?y_source=1_MzU5ODA5MDMtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,https://www.tripadvisor.com/Restaurant_Review-g60763-d2005333-Reviews-Red_Rooster_Harlem-New_York_City_New_York.html
The Ivory Peacock Bar,"38 W 26th Between 6th Avenue And Broadway, New York City, NY 10010",+1 646-930-8888,"#2,656",$$$$FrenchJapanese,9 reviews,See all hours,5.0,http://www.theivorypeacock.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d25458563-Reviews-The_Ivory_Peacock_Bar-New_York_City_New_York.html
Penelope,"159 Lexington Ave 30th Street, New York City, NY 10016-8154",+1 212-481-3800,#204,$$ - $$$AmericanCafeVegetarian Friendly,"1,256 reviews",,4.5,http://www.penelopenyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d425375-Reviews-Penelope-New_York_City_New_York.html
Franchia Vegan Cafe,"12 Park Ave between 34th and 35th Streets, New York City, NY 10016-4307",+1 212-213-1001,#205,$$ - $$$SushiAsianKorean,408 reviews,,4.5,http://www.franchia.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d425388-Reviews-Franchia_Vegan_Cafe-New_York_City_New_York.html
Dinosaur Bar-B-Que,"604 Union St, Brooklyn, NY 11215",+1 347-429-7030,#14,$$ - $$$,599 reviews,See all hours,4.5,http://dinosaurbarbque.com/locations/brooklyn,https://www.tripadvisor.com/Restaurant_Review-g60827-d4419640-Reviews-Dinosaur_Bar_B_Que-Brooklyn_New_York.html
An'nam,"234 W 48th St, New York City, NY 10036",+1 212-247-8318,#206,$$ - $$$JapaneseSushiAsian,314 reviews,See all hours,4.5,http://www.annam-ny.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d10027946-Reviews-An_nam-New_York_City_New_York.html
Friedman's,"132 W 31st St 450 10th Avenue, New York City, NY 10001-3406",+1 212-971-9400,#207,$$ - $$$AmericanVegetarian FriendlyVegan Options,"1,399 reviews",See all hours,4.5,http://www.friedmansrestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d5771824-Reviews-Friedman_s-New_York_City_New_York.html
Miss Mamie's Spoonbread Too,"366 W 110th St, New York City, NY 10025-2633",+1 212-865-6744,"#2,659",$$ - $$$AmericanCaribbeanCajun & Creole,102 reviews,See all hours,4.0,https://spoonbreadinc.com/#,https://www.tripadvisor.com/Restaurant_Review-g60763-d426019-Reviews-Miss_Mamie_s_Spoonbread_Too-New_York_City_New_York.html
Mastro's Steakhouse,"1285 Avenue of the Americas, New York City, NY 10019",+1 212-459-1222,#208,$$$$AmericanSteakhouseGluten Free Options,705 reviews,See all hours,4.5,https://www.mastrosrestaurants.com/Locations/NY/New-York/,https://www.tripadvisor.com/Restaurant_Review-g60763-d7231880-Reviews-Mastro_s_Steakhouse-New_York_City_New_York.html
